Dashboard	İdarəetmə paneli
Review document totals, expiry risk and profile readiness from one clear view.	Sənədlərin sayını, bitmə risklərini və profilin hazırlığını bir yerdən izləyin.
Upload your certificates and track expiry risk from one clean dashboard.	Sertifikatlarınızı yükləyin və bitmə risklərini vahid paneldən izləyin.
Uploaded Documents	Yüklənmiş sənədlər
Uploaded documents	Yüklənmiş sənədlər
Current Documents	Qüvvədə olan sənədlər
Expiring in 90 Days	90 gün ərzində bitir
Expiring in 60 Days	60 gün ərzində bitir
Expiring in 30 Days	30 gün ərzində bitir
Expiring in 1 Week	1 həftə ərzində bitir
Expired	Müddəti bitib
Quick Actions	Sürətli əməliyyatlar
Quick actions	Sürətli əməliyyatlar
Frequently used Personal tools and shortcuts.	Tez-tez istifadə olunan şəxsi alətlər və keçidlər.
Add Document	Sənəd əlavə et
Add document	Sənəd əlavə et
Scan with AI	Süni intellektlə skan et
Scan with QR	QR kodla skan et
Manual Upload	Əllə yüklə
Manage Profile	Profili idarə et
Manage profile	Profili idarə et
Share Link	Paylaşım keçidi
Storage Usage	Yaddaş istifadəsi
Manage Storage	Yaddaşı idarə et
Personal storage usage	Şəxsi yaddaş istifadəsi
Secure server encrypted archival storage is active.	Serverdə təhlükəsiz, şifrələnmiş arxiv yaddaşı aktivdir.
stored	istifadə olunub
stored · no fixed storage limit	istifadə olunub · sabit yaddaş limiti yoxdur
Your Personal document register.	Şəxsi sənəd reyestriniz.
Time Remaining	Qalan müddət
Days until each document expires.	Hər bir sənədin bitməsinə qalan gün sayı.
Days	Günlər
Sort names A to Z	Adları A-dan Z-yə sırala
Sort names Z to A	Adları Z-dən A-ya sırala
Sort days low to high	Gün sayını azdan çoxa sırala
Sort days high to low	Gün sayını çoxdan aza sırala
Document expiry time remaining	Sənədlərin bitməsinə qalan müddət
No expiry	Bitmə müddəti yoxdur
Date not confirmed	Tarix təsdiqlənməyib
Expires today	Bu gün bitir
No uploaded documents yet.	Hələ sənəd yüklənməyib.
No expiry data yet.	Hələ bitmə tarixi məlumatı yoxdur.
SENT REQUESTS	GÖNDƏRİLMİŞ SORĞULAR
Track document download requests sent from this Corporate account.	Bu korporativ hesabdan göndərilən sənəd endirmə sorğularını izləyin.
No download requests sent yet.	Hələ sənəd endirmə sorğusu göndərilməyib.
ACTION CENTRE	ƏMƏLİYYATLAR MƏRKƏZİ
RECENT ACTIVITY	SON FƏALİYYƏT
Recent document activity	Sənədlər üzrə son fəaliyyət
Open the existing Corporate workflows that need attention.	Diqqət tələb edən korporativ əməliyyatlara keçin.
Review personnel	İşçi heyətinə bax
Open compliance	Uyğunluq bölməsini aç
View reports	Hesabatlara bax
Manage projects	Layihələri idarə et
Open the existing Personal workflows from one place.	Şəxsi əməliyyatlara bir yerdən keçin.
Browse jobs	Vakansiyalara bax
Privacy & sharing	Məxfilik və paylaşım
Latest timestamped uploads across linked Personnel.	Əlaqələndirilmiş işçi heyətinin tarix üzrə son yükləmələri.
Latest timestamped uploads in your Personal document register.	Şəxsi sənəd reyestrinizdə tarix üzrə son yükləmələr.
No timestamped document activity is available yet.	Hələ tarixli sənəd fəaliyyəti yoxdur.
Total Personnel	Ümumi işçi sayı
Total Documents	Ümumi sənəd sayı
