Offshore	Dənizdə
Global recruiter network	Beynəlxalq işə qəbul şəbəkəsi
Recruiter Directory	Rekrutor kataloqu
Verified hiring professionals, connected to opportunities across ATSRS.	ATSRS-dəki iş imkanları ilə əlaqəli, yoxlanılmış rekrutorlar.
Recruiter directory trust controls	Kataloqun etibarlılıq göstəriciləri
LinkedIn verified	LinkedIn ilə yoxlanılıb
Vacancies linked	Vakansiyalarla əlaqələndirilib
Profile sharing controlled	Profil paylaşımına nəzarət edilir
Recruiters directory status	Rekrutorlar kataloqunun vəziyyəti
Recruiter filters	Rekrutorlar üzrə filtrlər
Recruiter or company	Rekrutor və ya şirkət
Vacancies	Vakansiyalar
Active vacancies only	Yalnız aktiv vakansiyalar
Sort	Sıralama
Recruiter name	Rekrutorun adı
Most vacancies	Vakansiya sayına görə
Contact through verified vacancy details	Yoxlanılmış vakansiya məlumatları vasitəsilə əlaqə saxlayın
Contact information remains governed by JobSearch access rules. ATSRS does not send your profile automatically.	Əlaqə məlumatlarına çıxış İş axtarışı bölməsinin qaydalarına tabedir. ATSRS profilinizi avtomatik göndərmir.
Recruiter pagination	Kataloqun səhifələri
No matching recruiters	Uyğun rekrutor tapılmadı
Clear the search and try another name.	Axtarışı təmizləyin və başqa adla yoxlayın.
Verified LinkedIn profile	Yoxlanılmış LinkedIn profili
Official job contact	Vakansiyanın rəsmi əlaqə şəxsi
Active in JobSearch	İş axtarışında aktivdir
Active on published jobs	Dərc edilmiş vakansiyalarda aktivdir
No active jobs at the moment	Hazırda aktiv vakansiya yoxdur
LinkedIn profile	LinkedIn profili
Contact source	Əlaqə mənbəyi
View offers	Vakansiyalara bax
View offers on ATSRS	ATSRS-dəki vakansiyalara bax
Share my profile	Profilimi paylaş
Choose what to include in a secure profile link	Təhlükəsiz profil keçidinə daxil ediləcək məlumatları seçin
Profile shared · 24h active	Profil paylaşılıb · 24 saat aktivdir
An active 24-hour link already exists. Revoke it in Profile → Sharing before sharing again.	Aktiv 24 saatlıq keçid artıq mövcuddur. Yenidən paylaşmazdan əvvəl Profil → Paylaşım bölməsində onu ləğv edin.
Create a 24-hour ATSRS link and open an email draft	24 saatlıq ATSRS keçidi yaradın və e-poçt qaralamasını açın
Preparing 24h link…	24 saatlıq keçid hazırlanır…
