Manage your personal information and visibility settings.	Şəxsi məlumatlarınızı və görünmə parametrlərini idarə edin.
Member since	Qeydiyyat tarixi
Last login	Son giriş
Profile completeness	Profilin tamamlanması
Work Availability	İşə başlama imkanı
Available from	Başlaya biləcəyi tarix
Preferred work type	Üstünlük verilən iş növü
Notice period	Əvvəlcədən bildiriş müddəti
Personal Information	Şəxsi məlumatlar
Sharing	Paylaşım
Security	Təhlükəsizlik
Surname	Soyad
Date of birth	Doğum tarixi
Nationality	Vətəndaşlıq
City	Şəhər
Country of residence	Yaşadığı ölkə
Physical address	Yaşayış ünvanı
ZIP / Postal code	Poçt indeksi
Current workplace	Hazırkı iş yeri
Position	Vəzifə
Profile photo	Profil şəkli
Upload or change profile photo	Profil şəklini yüklə və ya dəyiş
Edit profile	Profilə düzəliş et
Save	Saxla
Save profile changes	Profil dəyişikliklərini saxla
Cancel profile changes	Profil dəyişikliklərini ləğv et
Edit work availability	İşə başlama imkanını dəyiş
Save work availability changes	İşə başlama məlumatlarını saxla
Cancel work availability changes	İşə başlama dəyişikliklərini ləğv et
Profile settings sections	Profil parametrləri bölmələri
Profile edit actions	Profilə düzəliş əməliyyatları
Work availability edit actions	İşə başlama məlumatlarına düzəliş əməliyyatları
Specific recipient	Konkret alıcı
Send to a specific person	Konkret şəxsə göndər
Link expires in	Keçidin etibarlılıq müddəti
24 hours	24 saat
3 days	3 gün
7 days	7 gün
Custom	Fərdi
Create Link	Keçid yarat
Select all	Hamısını seç
Select which Documents-page files this link may show.	Bu keçiddə görünəcək sənədləri seçin.
Close document selection	Sənəd seçimini bağla
Custom share link expiry date	Paylaşım keçidinin bitmə tarixi
Secure Command Center	Təhlükəsizlik mərkəzi
Keep your contact verified and your account protected.	Əlaqə məlumatlarınızı təsdiqləyin və hesabınızı qoruyun.
Contact verification	Əlaqə məlumatlarının təsdiqi
Choose verification channel	Təsdiqləmə kanalını seçin
Verification channel	Təsdiqləmə kanalı
Mobile	Mobil telefon
Mobile phone	Mobil telefon
WhatsApp number	WhatsApp nömrəsi
Saved WhatsApp number	Saxlanılmış WhatsApp nömrəsi
Saved mobile number	Saxlanılmış mobil nömrə
Send verification code	Təsdiqləmə kodu göndər
Edit saved contact	Saxlanılmış əlaqə məlumatını dəyiş
Ready to verify	Təsdiqləməyə hazırdır
Select a channel and send a code.	Kanal seçin və kod göndərin.
We'll send a 6-digit code to your WhatsApp.	WhatsApp nömrənizə 6 rəqəmli kod göndərəcəyik.
Confirm verification	Təsdiqləməni tamamlayın
Enter the code sent to your contact.	Əlaqə vasitənizə göndərilmiş kodu daxil edin.
Enter the 6-digit code	6 rəqəmli kodu daxil edin
Confirm code	Kodu təsdiqlə
Account Status	Hesabın vəziyyəti
Your account verification overview	Hesabınızın təsdiqlənmə vəziyyəti
ID card	Şəxsiyyət vəsiqəsi
Verify	Təsdiqlə
Verify mobile phone	Mobil nömrəni təsdiqlə
Verify WhatsApp number	WhatsApp nömrəsini təsdiqlə
Two-Factor Authentication	İkimərhələli təsdiqləmə
Active Sessions	Aktiv sessiyalar
Manage	İdarə et
Delete Account	Hesabı sil
Current browser	Hazırkı brauzer
Warning	Xəbərdarlıq
This action cannot be undone	Bu əməliyyatı geri qaytarmaq mümkün deyil
Public	Açıq
Private	Məxfi
(Everyone)	(Hər kəs)
Only Recruiters	Yalnız rekrutorlar
(Only you)	(Yalnız siz)
Phone number	Telefon nömrəsi
Display your phone number	Telefon nömrənizi göstər
Email address	E-poçt ünvanı
Display your email address	E-poçt ünvanınızı göstər
Display your city and country	Şəhərinizi və ölkənizi göstər
Availability status	İşə başlama vəziyyəti
Show your availability to employers	İşə başlama imkanınızı işəgötürənlərə göstər
Current position	Hazırkı vəzifə
Display your current job title	Hazırkı vəzifənizi göstər
Display your date of birth	Doğum tarixinizi göstər
Add an extra layer of security to your account.	Hesabınıza əlavə təhlükəsizlik qatı əlavə edin.
Manage your active ATSRS sessions across devices.	Cihazlardakı aktiv ATSRS sessiyalarınızı idarə edin.
Permanently delete your account and all data.	Hesabınızı və bütün məlumatlarınızı həmişəlik silin.
Share history	Paylaşım tarixçəsi
Who can view	Kim baxa bilər
No profile shares yet.	Hələ profil paylaşılmayıb.
Not specified	Göstərilməyib
Not provided	Daxil edilməyib
Not verified	Təsdiqlənməyib
Verified	Təsdiqlənib
Active	Aktiv
Any opportunity	İstənilən iş imkanı
Location	Məkan
Timezone & local time	Saat qurşağı və yerli vaxt
Not enabled	Aktiv edilməyib
Enabled	Aktivdir
