Reference document summary	Tövsiyə sənədləri üzrə xülasə
Reference document types	Tövsiyə sənədlərinin növləri
Manage your career proof materials in one place.	Peşəkar təcrübənizi təsdiqləyən materialları bir yerdə idarə edin.
Appraisals	Qiymətləndirmələr
Reference Letters	Xasiyyətnamələr
Recommendations	Tövsiyə məktubları
Cover Letters	Müşayiət məktubları
Annual Appraisal	İllik qiymətləndirmə
Reference Letter	Xasiyyətnamə
Recommendation	Tövsiyə məktubu
Cover Letter	Müşayiət məktubu
Search documents	Sənədləri axtar
Search documents...	Sənədləri axtar...
Filters	Filtrlər
Newest first	Əvvəlcə yenilər
Oldest first	Əvvəlcə köhnələr
Upload Document	Sənəd yüklə
Document Name	Sənədin adı
Date	Tarix
Size	Ölçü
Main CV	Əsas CV
Main CV ready	Əsas CV hazırdır
Main CV missing	Əsas CV yoxdur
This is your profile’s Main CV used across ATSRS.	Bu, ATSRS-də istifadə olunan əsas profil CV-nizdir.
AI CV Generator	AI ilə CV hazırlama
AI CV GENERATOR	AI İLƏ CV HAZIRLAMA
Enhance your CV with AI. Upload a temporary source CV; your Profile Main CV will not be changed.	CV-nizi AI ilə təkmilləşdirin. Müvəqqəti mənbə CV yükləyin; profilinizin əsas CV-si dəyişməyəcək.
Upload / Replace Main CV	Əsas CV-ni yüklə / əvəz et
Upload / Replace CV	CV yüklə / əvəz et
Generate CV	CV hazırla
Reset	Sıfırla
Download	Endir
Replace	Əvəz et
Set as Main	Əsas CV et
More actions	Digər əməliyyatlar
Additional Profile CVs	Profilin əlavə CV-ləri
No Main CV uploaded yet.	Hələ əsas CV yüklənməyib.
No additional CVs.	Əlavə CV yoxdur.
No CV Uploaded	CV yüklənməyib
No CV selected for AI.	AI üçün CV seçilməyib.
Preview Generated CV	Hazırlanmış CV-yə bax
Print / Save PDF	Çap et / PDF saxla
I agree that my uploaded CV will be sent securely to the OpenAI API so ATSRS can improve it.	ATSRS-in CV-mi təkmilləşdirməsi üçün yüklədiyim CV-nin təhlükəsiz şəkildə OpenAI API-yə göndərilməsinə razıyam.
Keep appraisal forms, reference letters and client feedback in one place.	Qiymətləndirmə formalarını, xasiyyətnamələri və müştəri rəylərini bir yerdə saxlayın.
Upload annual appraisals, performance reviews and evaluation forms.	İllik qiymətləndirmələri, fəaliyyət rəylərini və qiymətləndirmə formalarını yükləyin.
Store reference letters and contact-ready career proof.	Xasiyyətnamələri və peşəkar təcrübənizi təsdiqləyən sənədləri saxlayın.
Upload	Yüklə
No files uploaded yet.	Hələ fayl yüklənməyib.
No documents yet.	Hələ sənəd yoxdur.
