PERSONAL PLANS	ŞƏXSİ PLANLAR
Choose the level that fits your document workflow.	Sənəd işinizə uyğun səviyyəni seçin.
Start with the essentials, then choose the level of career access, document capacity and AI support that fits how actively you work.	Əsas imkanlarla başlayın, sonra fəaliyyətinizə uyğun karyera çıxışı, sənəd tutumu və AI dəstəyi səviyyəsini seçin.
Billing period	Ödəniş dövrü
Monthly	Aylıq
Yearly	İllik
Save 20%	20% qənaət edin
Prices are shown in USD. Billing is not open yet and no charge is taken from this page. When enabled, card entry will stay on the bank's secure payment page; ATSRS will not store card numbers or CVV values.	Qiymətlər ABŞ dolları ilə göstərilir. Ödəniş hələ aktiv deyil və bu səhifədən heç bir məbləğ tutulmur. Aktivləşdirildikdə kart məlumatları bankın təhlükəsiz ödəniş səhifəsində daxil ediləcək; ATSRS kart nömrəsini və CVV kodunu saxlamayacaq.
Start with the essentials.	Əsas imkanlarla başlayın.
Organise your core career documents and explore a limited selection of opportunities without a payment card.	Əsas karyera sənədlərinizi təşkil edin və bank kartı olmadan məhdud sayda vakansiyaya baxın.
100 MB Secure Storage	100 MB təhlükəsiz yaddaş
1000 MB Secure Storage	1000 MB təhlükəsiz yaddaş
2 GB Secure Storage	2 GB təhlükəsiz yaddaş
5 GB Secure Storage	5 GB təhlükəsiz yaddaş
10 GB Secure Storage	10 GB təhlükəsiz yaddaş
10 Tracked Documents	10 izlənilən sənəd
200 Tracked Documents	200 izlənilən sənəd
700 Tracked Documents	700 izlənilən sənəd
1,500 Tracked Documents	1 500 izlənilən sənəd
2,000 Tracked Documents	2 000 izlənilən sənəd
Manual and QR document upload	Sənədlərin əl ilə və QR vasitəsilə yüklənməsi
Document tracking and expiry dashboard	Sənədlərin və bitmə tarixlərinin izlənməsi
Personal profile, CV and references	Şəxsi profil, CV və tövsiyələr
Work availability and controlled share links	İşə hazırlıq statusu və idarə olunan paylaşım keçidləri
Unlimited Email + 50 WhatsApp expiry alerts / month	Limitsiz e-poçt + ayda 50 WhatsApp bildirişi
Unlimited Email + 150 WhatsApp expiry alerts / month	Limitsiz e-poçt + ayda 150 WhatsApp bildirişi
Unlimited Email + 300 WhatsApp expiry alerts / month	Limitsiz e-poçt + ayda 300 WhatsApp bildirişi
Unlimited Email + 750 WhatsApp expiry alerts / month	Limitsiz e-poçt + ayda 750 WhatsApp bildirişi
Unlimited Email and WhatsApp expiry alerts	Limitsiz e-poçt və WhatsApp bildirişləri
1 lifetime AI document scan + 1 lifetime AI CV generation	Birdəfəlik 1 AI sənəd skanı + 1 AI CV hazırlanması
15 AI document scans + 3 AI CV generations / month	Ayda 15 AI sənəd skanı + 3 AI CV hazırlanması
50 AI document scans + 5 AI CV generations / month	Ayda 50 AI sənəd skanı + 5 AI CV hazırlanması
150 AI document scans + 7 AI CV generations / month	Ayda 150 AI sənəd skanı + 7 AI CV hazırlanması
500 AI document scans + 10 AI CV generations / month	Ayda 500 AI sənəd skanı + 10 AI CV hazırlanması
Limited JobSearch catalogue	Məhdud vakansiya kataloqu
Full JobSearch vacancy catalogue	Tam vakansiya kataloqu
/ forever	/ həmişəlik
Available without payment	Ödənişsiz istifadə mümkündür
RECOMMENDED	TÖVSİYƏ OLUNUR
Unlock ATSRS career discovery and controlled outreach with practical Personal limits.	Uyğun şəxsi limitlərlə ATSRS karyera axtarışına və idarə olunan əlaqə imkanlarına tam çıxış əldə edin.
/ month	/ ay
Monthly billing	Aylıq ödəniş
Save 20% · $192 billed annually	20% qənaət · illik $192 ödəniş
Save 20% · $384 billed annually	20% qənaət · illik $384 ödəniş
Save 20% · $672 billed annually	20% qənaət · illik $672 ödəniş
Save 20% · $1,152 billed annually	20% qənaət · illik $1 152 ödəniş
$19.99/mo	$19.99/ay
$39.99/mo	$39.99/ay
$69.99/mo	$69.99/ay
$119.99/mo	$119.99/ay
$16/mo · Save 20% · $192 billed annually	$16/ay · 20% qənaət · illik $192 ödəniş
$32/mo · Save 20% · $384 billed annually	$32/ay · 20% qənaət · illik $384 ödəniş
$56/mo · Save 20% · $672 billed annually	$56/ay · 20% qənaət · illik $672 ödəniş
$96/mo · Save 20% · $1,152 billed annually	$96/ay · 20% qənaət · illik $1 152 ödəniş
Immediate access to newest vacancies	Ən yeni vakansiyalara dərhal çıxış
Recruiter details and verified contact routes	Rekrutor məlumatları və təsdiqlənmiş əlaqə vasitələri
Direct Apply and original source links	Birbaşa müraciət və orijinal mənbə keçidləri
Recruiter and official company directories	Rekrutorlar və rəsmi şirkətlər kataloqları
24-hour recipient-specific profile sharing	Profilin seçilmiş şəxs ilə 24 saatlıq paylaşılması
Choose Bronze	Bronze planını seç
Billing is not open yet	Ödəniş hələ aktiv deyil
COMING SOON	TEZLİKLƏ
More working capacity without changing the complete Bronze feature set.	Bronze planının bütün imkanlarını saxlayaraq daha geniş iş tutumu əldə edin.
Planned price	Planlaşdırılan qiymət
Coming soon	Tezliklə
High-volume capacity for people managing a larger professional record.	Geniş peşəkar arxivini idarə edənlər üçün yüksək tutum.
The highest ATSRS Personal limits for power users with extensive records.	Geniş arxivi olan aktiv istifadəçilər üçün ən yüksək ATSRS şəxsi limitləri.
PLAN COMPARISON	PLANLARIN MÜQAYİSƏSİ
See every limit and capability.	Bütün limit və imkanlara baxın.
Bronze opens the complete career-discovery workflow. Silver, Gold and Titan keep those capabilities and increase capacity; their published limits remain planned until launch.	Bronze tam karyera axtarışı imkanlarını açır. Silver, Gold və Titan həmin imkanları saxlayaraq tutumu artırır; göstərilən limitlər istifadəyə verilənədək planlaşdırılmış hesab olunur.
Need more than your plan includes?	Plan limitindən daha çoxuna ehtiyacınız var?
Additional capacity is available separately for each product. Increase only the allowance you need—Tracked Documents, Storage, AI Document Scans, AI CV Generations or WhatsApp Expiry Alerts—without changing your plan.	Hər xidmət üçün əlavə tutumu ayrıca əldə etmək mümkündür. Planı dəyişmədən yalnız ehtiyacınız olan sənəd, yaddaş, AI sənəd skanı, AI CV hazırlanması və ya WhatsApp bildirişi limitini artırın.
Capability	İmkan
Free	Pulsuz
Planned	Planlaşdırılır
Price	Qiymət
Documents and AI	Sənədlər və AI
